player,date,elo_before,rolling_win_pct,last3_win_avg,surface_win_pct,rolling_ace_avg,rolling_minutes_avg,rolling_bp_save,current_elo,last5_1,last5_2,last5_3,last5_4,last5_5
Aaron Gil Garcia,2025-09-12,1500.0,,,,,,,1483.140380656807,0,,,,
Abdullah Shelbayh,2025-02-17,1456.4152625978734,0.0,0.0,0.0,2.3333333333333335,84.33333333333333,0.621031746031746,1440.403366395274,0,0.0,0.0,0.0,
Abdulmajeed Bukhari,2025-01-31,1500.0,,,,,,,1484.0,0,,,,
Abdulmalek Burasais,2025-01-31,1500.0,,,,,,,1484.0,0,,,,
Adam Neff,2024-02-05,1500.0,,,,,,,1485.0615755142146,0,,,,
Adam Walton,2026-05-26,1448.2721752612006,0.4,0.3333333333333333,0.375,6.2,90.9,0.7378571428571429,1476.842824564331,1,0.0,1.0,0.0,0.0
Adolfo Daniel Vallejo,2026-05-26,1569.701165013555,0.7,0.6666666666666666,0.7,3.111111111111111,84.77777777777777,0.5495510662177329,1588.5313964120267,1,0.0,1.0,1.0,0.0
Adria Soriano Barrera,2026-02-06,1502.7300765233324,0.5,0.6666666666666666,0.5,9.333333333333334,125.0,0.6388888888888888,1485.7003912095404,0,1.0,1.0,0.0,0.0
Adrian Andreev,2025-01-31,1500.0,,,,,,,1516.0,1,,,,
Adrian Boitan,2026-03-31,1500.0,,,,,,,1482.949219779869,0,,,,
Adrian Mannarino,2026-05-25,1441.4417623043394,0.1,0.0,0.1,3.1,97.6,0.5157437007437007,1432.7875681035773,0,0.0,0.0,0.0,0.0
Ahmad Nael Qureshi,2025-02-01,1500.0,,,,,,,1483.4536794043688,0,,,,
Aisam-Ul-Haq Qureshi,2024-02-03,1500.0,,,,,,,1484.0,0,,,,
Ajeet Rai,2025-02-01,1453.3743307320146,0.0,0.0,0.0,6.333333333333333,102.66666666666667,0.3259259259259259,1440.902361259921,0,0.0,0.0,0.0,
Akram El Sallaly,2025-09-13,1500.0,,,,,,,1482.5304984710244,0,,,,
Alaa Trifi,2026-02-06,1500.0,,,,,,,1485.1890954042292,0,,,,
Alan Fernando Rubio Fierros,2024-09-14,1500.0,1.0,1.0,1.0,7.0,114.0,1.0,1499.3282560366688,1,0.0,,,
Alan Magadan,2026-02-06,1480.5703655954208,0.0,0.0,0.0,2.0,124.0,0.25,1469.682662566198,0,0.0,,,
Albert Ramos-Vinolas,2025-05-26,1414.9885457867022,0.2,0.0,0.3,1.0,104.77777777777777,0.5161375661375662,1410.4462411813172,0,0.0,0.0,0.0,0.0
Alec Beckley,2025-09-13,1483.9751057537562,0.0,0.0,,2.0,75.0,0.4,1468.6787171352662,0,0.0,,,
Alejandro Davidovich Fokina,2026-05-27,1640.1484034689452,0.5,0.6666666666666666,0.5,2.5,121.1,0.5069444444444444,1623.2062275430148,0,1.0,0.0,1.0,0.0
Alejandro Moro Canas,2024-12-29,1484.8320859643134,0.3333333333333333,0.3333333333333333,1.0,2.6666666666666665,116.33333333333333,0.6749999999999999,1471.0956820572624,0,0.0,1.0,0.0,
Alejandro Tabilo,2026-05-26,1594.4100028662192,0.5,0.3333333333333333,0.5,5.3,100.2,0.7339525553811269,1608.0572669788594,1,0.0,1.0,0.0,1.0
Aleksa Krivokapic,2025-01-31,1500.0,,,,,,,1482.9843159964748,0,,,,
